Basic-Block,gen[B],kill[B]
B0,D0 D1 D2 D3 D4 D5 D6,D10 D11 D28 D30 D31
B1,,
B10,,
B100,,
B11,,
B12,D10 D11,D0 D1 D28 D30 D31
B13,,
B14,,
B15,D12,D18 D24 D27 D29 D8
B16,,
B17,,
B18,,
B19,,
B2,D7,
B20,,
B21,,
B22,D13,D16
B23,,
B24,,
B25,,
B26,,
B27,D14 D15,
B28,,
B29,,
B3,D8,D12 D18 D24 D27 D29
B30,D16,D13
B31,,
B32,D17,D19 D20 D21 D22
B33,D18,D12 D24 D27 D29 D8
B34,,
B35,,
B36,,
B37,D19,D17 D20 D21 D22
B38,,
B39,,
B4,,
B40,D20,D17 D19 D21 D22
B41,,
B42,,
B43,,
B44,,
B45,D21,D17 D19 D20 D22
B46,,
B47,,
B48,D22,D17 D19 D20 D21
B49,D23,D26
B5,,
B50,D24,D12 D18 D27 D29 D8
B51,,
B52,,
B53,D25,D9
B54,,
B55,,
B56,,
B57,D26,D23
B58,,
B59,,
B6,D9,D25
B60,,
B61,,
B62,,
B63,,
B64,,
B65,D27,D12 D18 D24 D29 D8
B66,,
B67,,
B68,,
B69,,
B7,,
B70,,
B71,,
B72,,
B73,,
B74,,
B75,,
B76,D28,D0 D10 D30
B77,,
B78,,
B79,,
B8,,
B80,D29,D12 D18 D24 D27 D8
B81,,
B82,,
B83,,
B84,,
B85,,
B86,,
B87,D30,D0 D10 D28
B88,D31,D1 D11
B89,,
B9,,
B90,,
B91,,
B92,,
B93,,
B94,,
B95,,
B96,,
B97,,
B98,,
B99,,